"AQI Value","CO AQI Value","Ozone AQI Value","NO2 AQI Value","PM2.5 AQI Value","lat","lng"
51,1,36,0,51,44.7444,44.2031
41,1,5,1,41,-5.29,-44.49
41,1,5,1,41,-11.2958,-41.9869
66,1,39,2,66,37.1667,15.1833
34,1,34,0,20,53.0167,20.8833
54,1,14,11,54,16.1005,-88.8074
54,1,14,11,54,26.8941,-82.0513
64,1,29,7,64,51.0761,4.2803
54,1,41,1,54,44.05,43.0667
68,2,68,1,58,21.95,108.6167
41,1,24,6,41,52.3833,6.2667
59,1,30,4,59,50.3892,3.4858
55,1,47,0,55,37.3833,14.7
72,1,4,23,72,33.5722,-112.0892
28,1,28,2,28,52.0667,21.0167
154,5,0,13,154,-22.5128,-44.0008
67,1,16,2,67,9.7919,-74.7872
62,1,37,1,62,43.9333,23.0833
31,1,31,0,17,56.45,60.1833
56,1,35,0,56,46.9061,6.3547
77,2,22,15,77,42.6493,-83.2878
77,2,22,15,77,40.8894,-88.6409
44,1,15,0,44,-0.0206,109.3414
30,1,9,2,30,-22.7558,-51.3789
30,1,30,1,15,61.4833,21.8
79,3,18,5,79,-33.9581,25.6
34,1,19,7,34,29.9765,-93.9459
51,1,20,5,51,51.5906,-3.7986
77,1,34,0,77,34.1754,-103.3565
61,1,32,3,61,47.7213,-116.9384
32,1,7,2,32,-22.2281,-45.9336
29,0,29,0,25,44.55,135.5833
247,3,162,1,247,26.17,85.9
45,1,32,7,45,39.7805,-84.2003
45,1,32,7,45,39.2592,-119.5653
45,1,32,7,45,30.0315,-94.9158
36,1,25,3,36,50.9833,3.5333
124,2,15,5,124,18.55,-72.3
72,1,26,2,72,32.2631,-107.7525
55,0,32,1,55,33.2175,-97.1418
55,0,32,1,55,53.4554,-2.1122
31,0,31,0,25,30.395,-86.4701
60,1,31,1,60,12.127,78.158
30,1,17,0,30,8.5872,123.3408
44,1,34,0,44,56.6167,23.2667
47,1,37,4,47,42.9004,-85.7564
37,0,32,2,37,51.7667,5.7333
44,1,14,8,44,31.8393,-111.0009
44,1,14,8,44,39.3414,-77.24
58,2,14,24,58,42.9371,-88.0018
89,3,3,6,89,4.0833,-74.9167
52,2,38,7,52,42.2,14.2167
51,1,25,6,51,51.2365,-0.5703
38,1,38,0,13,48.05,39.9167
88,2,11,20,88,38.7931,-90.3899
54,1,31,3,54,49.5053,8.6033
44,1,28,3,44,51.3167,6.9667
51,1,26,6,51,51.7526,-0.4692
67,2,15,23,67,40.7637,-73.5245
49,1,25,3,49,50.7422,8.2039
203,5,203,5,151,30.25,120.1675
35,0,32,0,35,54.7972,9.3764
90,1,25,2,90,40.7431,-74.1531
90,1,25,2,90,41.0236,-73.7193
90,1,25,2,90,36.2438,-93.1198
90,1,25,2,90,39.2584,-84.7868
90,1,25,2,90,44.1935,-88.2941
90,1,25,2,90,40.6374,-79.7173
36,0,34,1,36,52.2167,7.9167
48,1,28,4,48,50.6092,2.9869
41,1,28,10,41,51.019,-3.1
41,1,28,10,41,41.9036,-71.0943
19,0,19,1,17,-37.6833,176.1667
47,1,47,1,36,41.25,14.0667
155,3,82,1,155,18.6057,84.2355
46,1,9,1,46,-22.5328,-52.1678
64,1,15,2,64,20.8794,-103.8356
44,1,44,1,38,42.6589,13.7039
142,4,113,9,142,39.1467,117.2056
54,1,20,0,54,10.7167,123.5167
60,1,44,3,60,35.7996,139.4686
166,4,8,19,166,19.2925,-99.6569
27,0,23,1,27,-7.7764,-34.8919
23,1,7,1,23,-15.66,-40.0658
31,1,13,0,31,-18.4167,-49.2167
90,2,22,9,90,13.7333,-89.6667
51,1,38,0,51,42.5633,47.8636
170,1,38,0,170,23.1667,79.9333
22,0,9,1,22,-13.5308,-39.9708
47,1,27,2,47,51.9667,17.5
59,1,32,0,59,8.65,124.75
133,4,23,3,133,7.84,4.486
29,1,29,1,7,61.1833,28.7667
73,2,2,8,73,-26.8978,-49.2319
50,0,24,0,50,14.2,120.8833
25,0,9,1,25,-14.1628,-40.0058
90,3,18,2,90,7.9667,3.6
81,2,26,3,81,18.0292,-95.5264
29,0,20,1,29,-3.9689,-38.5278
44,1,16,1,44,-21.0108,-40.8339
65,1,12,0,65,4.4081,32.575
53,1,28,10,53,40.2237,-74.7641
53,1,28,10,53,42.1394,-83.1929
53,1,28,10,53,39.4792,-84.462
56,0,23,0,56,18.3599,-66.0096
57,1,26,3,57,53.2667,-7.5
62,0,35,0,62,39.1064,39.5472
49,1,27,4,49,44.1565,-87.5824
34,1,34,0,32,55.8667,72.2
163,2,92,0,163,23.5247,80.8372
126,4,3,36,126,33.9209,-118.2356
126,4,3,36,126,41.7641,-87.9454
63,2,9,22,63,42.0771,-87.7282
53,2,27,10,53,38.9395,-77.2842
86,2,38,10,86,42.132,-83.2374
112,2,44,4,112,30.1697,121.2665
155,3,155,2,151,33.3936,120.1339
121,4,24,0,121,0.7675,24.4414
69,2,48,0,69,42.9044,129.5067
47,1,34,3,47,42.8901,-97.3927
69,1,34,4,69,50.9667,7.8667
64,1,32,6,64,51,3.8833
20,1,20,1,10,60.7029,-135.0691
38,1,30,3,38,52.9779,-6.033
59,1,27,3,59,47.4667,9.05
67,1,30,5,67,52.9,8.4333
75,2,13,16,75,41.2399,-77.037
60,2,18,21,60,42.4239,-88.1844
36,1,36,0,25,55.8333,12.0666
41,1,30,8,41,38.7601,-76.9642
44,1,28,2,44,51.3484,9.5256
29,1,26,1,29,43.342,142.3832
168,3,168,5,99,27.9814,116.3577
168,3,168,5,99,26.0769,119.2917
25,1,25,3,23,55.6194,-2.8033
41,1,26,4,41,50.9831,6
36,0,33,1,36,52.4183,9.5981
59,2,12,0,59,9.3,13.4
35,0,33,2,35,51.7,4.8586
29,0,29,0,13,-28.7744,114.6089
51,1,29,3,51,49.2167,8.3667
103,4,9,6,103,4.305,-74.8017
35,1,30,4,35,53.4758,-2.5943
27,0,27,2,21,41.15,-8.5333
27,0,27,2,21,42.1111,-8.7611
307,1,45,0,307,24.3785,81.2964
61,2,26,16,61,42.064,-88.1468
42,1,42,2,37,35.6526,-78.8399
42,1,42,2,37,34.1681,-84.4847
42,0,32,1,42,51.8297,9.4483
102,1,23,0,102,8.15,39.35
64,1,53,1,64,39.3167,8.5333
45,1,45,0,38,33.65,130.6833
69,1,69,1,60,37.4363,137.2605
50,1,41,1,50,46.255,20.145
125,2,125,1,82,34.6919,50.0131
41,1,25,1,41,14.1,120.9333
52,1,34,3,52,35.3328,137.1316
47,1,47,1,44,36.7192,140.7167
36,1,36,3,34,34.7914,133.6164
37,1,19,0,37,8.4488,125.7869
46,1,27,1,46,56.7333,37.5333
64,1,18,12,64,25.7556,-80.4016
92,2,52,8,92,32.8536,35.1978
35,1,20,0,35,6.6167,124.75
88,2,53,1,88,-7.215,107.8856
45,0,45,0,43,38.5022,42.2814
58,1,24,7,58,50.9452,-2.637
143,2,35,5,143,38.7299,112.7134
187,2,36,8,187,35.0304,110.998
58,1,29,6,58,50.8833,4.4667
65,1,27,8,65,50.9722,4.4222
73,2,66,0,73,37.7527,114.7775
98,3,33,9,98,22.5333,113.35
98,3,33,9,98,34.943,105.8771
156,4,45,10,156,29.7169,120.2314
163,4,8,18,163,19.2833,-99.7333
35,1,35,0,21,51.1667,82.2
69,1,37,4,69,45.4,8.9167
105,4,15,4,105,5.3167,-4.0333
64,2,37,8,64,34.0566,-84.6716
54,1,32,5,54,39.0017,-76.9649
80,1,18,10,80,33.2198,-86.8225
50,1,36,1,50,43.0333,44.2333
35,1,25,3,35,50.8761,5.3078
55,1,27,0,55,48.55,-71.65
55,1,27,0,55,43.3799,-84.6556
28,0,28,0,13,-10.3167,150.4333
26,0,26,0,20,-25.1764,46.0833
107,2,107,5,86,36.3619,119.1072
22,0,22,0,20,-14.8833,50.25
76,3,7,25,76,37.9787,-121.796
76,3,7,25,76,42.4742,-88.0721
104,2,14,1,104,5.2789,-0.7397
28,1,28,1,15,51.9333,43.5
28,1,28,1,19,56.1,49.8833
39,1,29,1,39,40.2975,44.3617
104,3,5,10,104,14.175,-89.7417
57,1,40,3,57,42.5833,13.9833
29,1,29,2,20,55.458,-4.629
29,1,29,2,20,-19.5744,147.4066
34,0,34,1,26,52.2167,5.2833
32,0,30,1,32,51.1081,10.6467
500,1,38,1,466,29.9928,73.2536
52,0,28,0,52,16.073,102.7362
27,0,23,0,27,17.5965,120.6179
38,0,28,2,38,53.7167,10.2667
56,1,23,6,56,36.7365,-95.9456
117,1,117,1,78,34.62,71.97
92,2,57,1,92,4.4667,101.05
124,2,32,7,124,45.2981,10.475
68,2,68,6,57,38.9,16.6
68,1,26,0,68,11.7833,124.8833
39,1,4,2,39,0.0439,-78.1561
38,1,36,5,38,44.2,12.3944
17,0,17,1,17,-34.6333,-60.4667
21,0,4,0,21,-6.2167,-77.85
151,3,119,1,151,41.5757,120.4486
38,1,38,0,35,54.2333,83.3667
49,1,40,0,49,44.2222,42.0575
72,2,4,5,72,17.55,-99.5
73,1,32,2,73,38.8597,-104.6995
46,1,2,0,46,-4.085,-63.1408
35,1,12,9,35,55.8625,-4.0266
24,0,24,1,16,51.851,-8.2967
45,1,14,2,45,-19.5389,-40.6308
65,1,12,6,65,18.8833,-71.7
112,1,34,4,112,45.8103,9.0861
19,0,19,0,11,-11.8139,-37.6108
31,0,31,2,22,54.85,-1.83
152,4,4,19,152,26.0463,-80.2862
31,1,21,1,31,31.1192,-97.914
13,1,12,0,13,-27.4833,-58.8167
103,2,28,9,103,44.7167,11.15
52,1,35,0,52,38.9558,45.6308
30,0,30,2,13,43.2883,-8.3894
73,0,25,0,73,15.1773,73.9939
42,1,2,4,42,-18.7558,-44.4308
35,0,35,0,30,53.8611,8.6944
46,1,25,5,46,26.5392,-81.8999
63,2,13,0,63,10.656,-12.272
39,1,26,1,39,47.025,4.8397
56,1,18,6,56,52.135,-0.47
56,1,18,6,56,32.8464,-97.135
56,1,18,6,56,42.9406,-71.5302
56,1,18,6,56,41.225,-73.6673
56,1,18,6,56,42.4969,-71.2783
56,1,18,6,56,38.8602,-86.4895
56,1,18,6,56,41.3919,-81.536
105,2,13,2,105,6.3833,-0.3833
93,2,90,1,93,41.802,120.7621
45,0,22,0,45,-3.0508,-40.1678
54,1,8,1,54,-22.7322,-64.3425
36,0,29,2,36,51.8,11.7333
50,1,35,5,50,41.0555,-76.2492
153,1,34,0,153,22.68,75.62
48,1,36,5,48,42.5681,-70.8627
24,0,24,0,24,57.7667,36.7
179,3,179,2,166,32.2656,72.8994
151,1,26,1,151,19.2967,73.0631
92,2,45,0,92,3.5986,98.4803
48,1,39,1,48,43.6825,43.5339
104,1,16,2,104,10.8,-74.9167
51,1,27,1,51,14.5167,121.2667
51,1,27,1,51,13.6667,124.3667
38,0,20,0,38,15.8647,100.5858
41,1,27,5,41,52.2667,4.5
47,1,46,2,47,42.13,-71.6547
29,0,29,3,18,52.6286,1.2928
29,0,29,3,18,41.5495,-72.0882
29,0,29,3,18,42.9833,-80.6
37,1,32,3,37,51.4733,5.5467
61,2,2,9,61,-38.7433,-72.95
46,1,17,2,46,30.4167,-107.9167
79,2,13,27,79,41.7139,-87.7528
53,1,24,9,53,44.9876,-92.9641
53,1,24,9,53,37.7618,-120.8468
39,1,38,2,39,35.25,139.15
42,1,41,0,42,41.1169,20.8019
47,1,36,0,47,54.0333,22.5
32,1,27,4,32,51.7167,7.3833
25,0,6,1,25,-11.3669,-38.3328
73,2,26,7,73,40.2981,-111.6994
52,1,22,11,52,37.8808,-122.179
94,3,9,11,94,14.8693,-91.6211
80,2,22,1,80,7.85,3.933
